Filename,Width Min-Degree,Time Min-Degree,Width Min-Fill-in,Time Min-Fill-in,Width MCS,Time MCS
ER_1000_0.75_83.al,989,1.380096,987,8.696320,994,2.308352
ER_1000_0.75_84.al,987,1.385984,988,8.648448,994,2.320384
ER_1000_0.75_85.al,988,1.375488,988,8.682496,993,2.290176
ER_1000_0.75_86.al,989,1.397504,989,8.747008,994,2.275072
ER_1000_0.75_87.al,989,1.401856,988,8.640768,995,2.357760
ER_1000_0.75_88.al,987,1.393664,987,8.672512,993,2.317056
ER_1000_0.75_89.al,988,1.382912,989,8.661248,993,2.283264
ER_1000_0.75_8.al,989,1.387008,988,8.744704,994,2.294528
ER_1000_0.75_90.al,990,1.381632,989,8.673280,994,2.302208
ER_1000_0.75_91.al,988,1.385216,989,8.716032,992,2.355968
ER_1000_0.75_92.al,989,1.385984,987,8.695296,994,2.265600
ER_1000_0.75_93.al,989,1.393664,988,8.664576,994,2.258176
ER_1000_0.75_94.al,988,1.387776,989,8.850944,994,2.309632
ER_1000_0.75_95.al,988,1.369088,989,8.698880,994,2.284032
ER_1000_0.75_96.al,989,1.383936,989,8.631296,994,2.304256
ER_1000_0.75_97.al,989,1.373184,988,8.595712,993,2.326528
ER_1000_0.75_98.al,988,1.384448,988,8.714752,995,2.316800
ER_1000_0.75_99.al,989,1.390848,988,8.637184,995,2.302976
ER_1000_0.75_9.al,989,1.390848,989,8.635392,994,2.239232
ER_100_0.25_0.al,71,0.001280,69,0.005632,83,0.002048
ER_100_0.25_10.al,69,0.001280,70,0.006144,80,0.001792
ER_100_0.25_11.al,72,0.001280,71,0.006144,79,0.001792
ER_100_0.25_12.al,74,0.001280,71,0.006912,82,0.001792
ER_100_0.25_13.al,72,0.001280,71,0.006144,81,0.001792
ER_100_0.25_14.al,73,0.001280,72,0.006144,83,0.001792
ER_100_0.25_15.al,74,0.001280,74,0.006144,84,0.002048
ER_100_0.25_16.al,73,0.001280,73,0.005888,79,0.002048
ER_100_0.25_17.al,74,0.001280,74,0.006144,81,0.002048
ER_100_0.25_18.al,74,0.001280,71,0.005888,80,0.001792
ER_100_0.25_19.al,72,0.001280,72,0.006144,82,0.002048
ER_100_0.25_1.al,72,0.001280,71,0.006400,81,0.002048
ER_100_0.25_20.al,74,0.001280,73,0.006144,80,0.002304
ER_100_0.25_21.al,72,0.001280,71,0.006400,82,0.001792
ER_100_0.25_22.al,74,0.001280,75,0.006144,79,0.002048
ER_100_0.25_23.al,74,0.001280,74,0.006400,84,0.002048
ER_100_0.25_24.al,73,0.001536,72,0.006144,81,0.001792
ER_100_0.25_25.al,73,0.001280,71,0.007168,79,0.001792
ER_100_0.25_26.al,72,0.001536,74,0.006144,80,0.001792
ER_100_0.25_27.al,72,0.001536,72,0.006144,81,0.001792
ER_100_0.25_28.al,72,0.001536,72,0.006912,81,0.001792
ER_100_0.25_29.al,73,0.001280,72,0.005888,80,0.002048
ER_100_0.25_2.al,72,0.001536,73,0.006144,83,0.001792
ER_100_0.25_30.al,73,0.001280,71,0.005888,82,0.001792
ER_100_0.25_31.al,71,0.001280,71,0.005632,76,0.002048
ER_100_0.25_32.al,73,0.001280,71,0.005888,78,0.002048
ER_100_0.25_33.al,73,0.001280,72,0.006912,82,0.002048
ER_100_0.25_34.al,72,0.001280,72,0.006144,81,0.001792
ER_100_0.25_35.al,72,0.001280,72,0.005888,80,0.002048
ER_100_0.25_36.al,74,0.001280,72,0.006400,79,0.002048
ER_100_0.25_37.al,74,0.001280,72,0.006144,80,0.001792
ER_100_0.25_38.al,74,0.001280,71,0.005888,81,0.002048
ER_100_0.25_39.al,73,0.001280,72,0.006912,83,0.002048
ER_100_0.25_3.al,73,0.001536,72,0.005888,82,0.002048
ER_100_0.25_40.al,74,0.001280,72,0.006400,81,0.001792
ER_100_0.25_41.al,74,0.001280,74,0.006400,84,0.002048
ER_100_0.25_42.al,72,0.001024,71,0.006144,80,0.001792
ER_100_0.25_43.al,73,0.001280,71,0.005888,82,0.001792
ER_100_0.25_44.al,75,0.001536,74,0.006912,81,0.001792
ER_100_0.25_45.al,73,0.001280,70,0.006400,78,0.002816
ER_100_0.25_46.al,73,0.001280,72,0.006400,83,0.002048
ER_100_0.25_47.al,74,0.001024,71,0.006144,82,0.002048
ER_100_0.25_48.al,72,0.001280,71,0.005888,83,0.001792
ER_100_0.25_49.al,75,0.001536,73,0.006144,81,0.001792
ER_100_0.25_4.al,72,0.001280,72,0.006144,77,0.001792
ER_100_0.25_50.al,74,0.001280,73,0.006400,82,0.002304
ER_100_0.25_51.al,74,0.001536,73,0.005888,82,0.002048
ER_100_0.25_52.al,72,0.001280,72,0.005888,81,0.001792
ER_100_0.25_53.al,72,0.001280,74,0.006144,81,0.002048
ER_100_0.25_54.al,72,0.001280,72,0.006656,82,0.002048
ER_100_0.25_55.al,71,0.001024,71,0.005888,83,0.001792
ER_100_0.25_56.al,73,0.001280,73,0.006144,83,0.002048
ER_100_0.25_57.al,70,0.001280,71,0.005888,81,0.001792
ER_100_0.25_58.al,73,0.001280,72,0.006656,82,0.002048
ER_100_0.25_59.al,72,0.001280,71,0.005888,80,0.002048
ER_100_0.25_5.al,73,0.001280,72,0.006144,82,0.001792
ER_100_0.25_60.al,75,0.001536,75,0.006656,84,0.002048
ER_100_0.25_61.al,73,0.001280,70,0.006144,81,0.002048
ER_100_0.25_62.al,75,0.001536,76,0.006400,85,0.002048
ER_100_0.25_63.al,71,0.001280,70,0.006144,80,0.001792
ER_100_0.25_64.al,71,0.001280,72,0.005888,82,0.002048
ER_100_0.25_65.al,74,0.001536,70,0.006400,81,0.001792
ER_100_0.25_66.al,72,0.001280,72,0.006656,80,0.002048
ER_100_0.25_67.al,75,0.001536,73,0.006656,84,0.002048
ER_100_0.25_68.al,72,0.001536,71,0.005888,81,0.002048
ER_100_0.25_69.al,73,0.001792,72,0.006144,79,0.002048
ER_100_0.25_6.al,73,0.001280,72,0.006912,78,0.001792
ER_100_0.25_70.al,75,0.001280,72,0.006144,83,0.002048
ER_100_0.25_71.al,73,0.001792,72,0.007424,83,0.002048
ER_100_0.25_72.al,74,0.001280,73,0.006400,82,0.001792
ER_100_0.25_73.al,72,0.001280,70,0.005888,82,0.002048
ER_100_0.25_74.al,74,0.001536,73,0.006144,82,0.001792
ER_100_0.25_75.al,74,0.001536,74,0.006912,81,0.002048
ER_100_0.25_76.al,75,0.001280,73,0.006400,85,0.002048
ER_100_0.25_77.al,74,0.001280,73,0.006400,81,0.002048
ER_100_0.25_78.al,74,0.001536,72,0.006400,81,0.002048
ER_100_0.25_79.al,74,0.001280,71,0.006400,78,0.002048
ER_100_0.25_7.al,75,0.001536,75,0.006656,83,0.001792
ER_100_0.25_80.al,72,0.001280,73,0.006144,81,0.001792
ER_100_0.25_81.al,75,0.001280,75,0.006400,83,0.002304
ER_100_0.25_82.al,71,0.001280,72,0.006144,82,0.001792
ER_100_0.25_83.al,74,0.001280,71,0.006656,83,0.002304
ER_100_0.25_84.al,73,0.001536,72,0.005888,82,0.002048
ER_100_0.25_85.al,72,0.001536,74,0.006400,77,0.002048
ER_100_0.25_86.al,74,0.001280,74,0.006400,81,0.001792
ER_100_0.25_87.al,73,0.001280,73,0.006400,80,0.002048
ER_100_0.25_88.al,74,0.001280,73,0.006144,82,0.002048
ER_100_0.25_89.al,73,0.001280,72,0.006912,82,0.001792
